
07-04 18:16:58.594  4822  4854 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 18:17:00.367  4822  4854 I Unity   : [STATISTIC]388;16197396;0;16196823;812949504;16084992;1451641507;41771;101354;138750;0;63750;142344;1886093;0;0;27;0.01619901;
07-04 18:17:00.380  4822  4854 I Unity   : [STATISTIC]389;15050365;0;15049896;810430464;16084992;1451662211;14271;66979;58386;114792;37032;124843;1276510;4532;0;27;0.01508641;
07-04 18:17:00.395  4822  4854 I Unity   : [STATISTIC]390;12368802;0;12368230;812732416;16084992;1468462535;20052;68489;72865;291562;75573;92292;1370521;7083;0;27;0.01237844;
07-04 18:17:00.409  4822  4854 I Unity   : [STATISTIC]391;15706719;0;15706198;815665152;16084992;1468499495;16510;64063;64011;221198;80000;117343;1401980;5364;0;27;0.01571719;
07-04 18:17:00.421  4822  4854 I Unity   : [STATISTIC]392;13825312;0;13824791;818077696;16084992;1468534975;12500;65989;50937;230625;120831;113906;1322030;7552;0;27;0.01383547;
07-04 18:17:00.434  4822  4854 I Unity   : [STATISTIC]393;11212657;0;11212291;820797440;16084992;1468641719;0;0;0;290781;40364;0;0;6146;0;27;0.01122141;
07-04 18:17:00.449  4822  4854 I Unity   : [STATISTIC]394;14468178;0;14467656;823074816;16084992;1485431575;14427;62917;62136;131146;71250;91406;1584324;5573;0;27;0.01447948;
07-04 18:17:00.461  4822  4854 I Unity   : [STATISTIC]395;14020313;0;14019844;825569280;16084992;1485444247;14896;63125;79427;258229;56719;143386;1622500;8751;0;27;0.01403026;
07-04 18:17:00.475  4822  4854 I Unity   : [STATISTIC]396;12793125;0;12792500;827748352;16084992;1485494103;12396;68386;60417;249792;69897;98020;1385937;7344;0;27;0.01280276;
07-04 18:17:00.489  4822  4854 I Unity   : [STATISTIC]397;13208959;0;13208489;828039168;16084992;1485503031;13229;66563;60521;0;29218;109844;1532865;0;0;27;0.01321802;
07-04 18:17:00.503  4822  4854 I Unity   : [STATISTIC]398;11640937;0;11640365;828039168;16084992;1485503031;0;0;0;0;71511;0;0;0;0;27;0.01164922;
07-04 18:17:00.519  4822  4854 I Unity   : [STATISTIC]399;15084583;0;15084115;828039168;16084992;1485503031;13698;66354;67708;0;82345;83438;1369480;0;0;27;0.01509615;
07-04 18:17:00.533  4822  4854 I Unity   : [STATISTIC]400;15990625;0;15990000;828039168;16084992;1485503031;12292;66510;52188;0;26093;110260;1633490;0;0;27;0.01600104;
07-04 18:17:00.547  4822  4854 I Unity   : [STATISTIC]401;14199427;0;14198958;828039168;16084992;1485503031;14479;66511;57187;0;71145;105000;1519481;0;0;27;0.0142076;
07-04 18:17:00.563  4822  4854 I Unity   : [STATISTIC]402;14150521;0;14150000;828604416;16084992;1485503031;13854;66458;65521;0;60261;93229;1637657;0;0;27;0.01416016;
07-04 18:17:00.577  4822  4854 I Unity   : [STATISTIC]403;16633333;0;16632813;830652416;16084992;1485503031;13854;72292;58542;196458;123698;78021;1566199;6927;0;27;0.01664448;
07-04 18:17:00.591  4822  4854 I Unity   : [STATISTIC]404;15062188;0;15061666;832954368;16084992;1485503031;15573;66042;63802;141979;66458;130261;1390572;7604;0;27;0.01507151;
07-04 18:17:00.604  4822  4854 I Unity   : [STATISTIC]405;11866667;0;11866146;833343488;16084992;1502280247;12864;69740;67709;0;57813;173802;1722603;0;0;27;0.01187526;
07-04 18:17:00.618  4822  4854 I Unity   : [STATISTIC]406;11362500;0;11361875;833343488;16084992;1502280247;0;0;0;0;56093;0;0;0;0;27;0.01137266;
07-04 18:17:00.634  4822  4854 I Unity   : [STATISTIC]407;17062500;0;17061979;833720320;16084992;1502280247;40469;101093;181094;0;112656;177813;2087604;0;0;27;0.01707599;
07-04 18:17:00.645  4822  4854 I Unity   : [STATISTIC]408;17548438;0;17547968;835981312;16084992;1502292983;22188;70625;84219;163906;203020;164219;1913124;26770;0;27;0.01755641;
07-04 18:17:00.659  4822  4854 I Unity   : [STATISTIC]409;9805208;0;9804687;838197248;16084992;1535868375;15625;65938;52656;110937;87656;98750;1303124;6250;0;27;0.00981276;
07-04 18:17:00.675  4822  4854 I Unity   : [STATISTIC]410;14063542;0;14063072;839622656;16084992;1535889367;13645;70052;58386;222708;40521;121927;1376094;6145;0;27;0.01407271;
07-04 18:17:00.690  4822  4854 I Unity   : [STATISTIC]411;14868490;0;14867969;841818112;16084992;1535893975;0;0;0;190521;65209;0;0;9949;0;27;0.01487708;
07-04 18:17:00.705  4822  4854 I Unity   : [STATISTIC]412;15371667;0;15371250;841818112;16084992;1535893975;20416;73802;86562;0;113022;139843;2001979;0;0;27;0.01538234;
07-04 18:17:00.718  4822  4854 I Unity   : [STATISTIC]413;15234584;0;15234115;843919360;16084992;1535906807;14531;66407;58490;178229;98490;99271;1390259;11771;0;27;0.01524302;
07-04 18:17:00.733  4822  4854 I Unity   : [STATISTIC]414;12775156;0;12774792;846192640;16084992;1535906839;12969;63698;70521;123698;74062;90886;1299636;6511;0;27;0.01277594;
07-04 18:17:00.747  4822  4854 I Unity   : [STATISTIC]415;15809895;0;15809531;846909440;16084992;1535911511;13281;73959;56771;194062;119271;95052;1426563;11456;0;27;0.01583682;
07-04 18:17:00.760  4822  4854 I Unity   : [STATISTIC]416;11448281;0;11447864;846909440;16084992;1535911511;13072;67292;57813;0;67292;104635;1345365;0;0;27;0.01145865;
07-04 18:17:00.776  4822  4854 I Unity   : [STATISTIC]417;16913542;0;16913021;847069184;16084992;1552688727;20000;74791;102813;0;43906;135781;2150573;0;0;27;0.01692146;
07-04 18:17:00.790  4822  4854 I Unity   : [STATISTIC]418;14361771;0;14361302;849215488;16084992;1552705111;17552;106875;99167;149896;93802;99583;1498542;8854;0;27;0.0143687;
07-04 18:17:00.803  4822  4854 I Unity   : [STATISTIC]419;12762396;0;12761927;851431424;16084992;1552720267;0;0;0;213490;65156;0;0;7604;0;27;0.01278073;
07-04 18:17:00.818  4822  4854 I Unity   : [STATISTIC]420;12787761;0;12787135;851582976;16084992;1552720267;72865;68907;78645;0;66302;103854;1416771;0;0;27;0.01279833;
07-04 18:17:00.833  4822  4854 I Unity   : [STATISTIC]421;17038854;0;17038229;853659648;16084992;1552756711;14427;78385;74063;253594;72604;99532;1554583;8802;0;27;0.01704901;
07-04 18:17:00.845  4822  4854 I Unity   : [STATISTIC]422;14312760;0;14312292;856281088;16084992;1552777831;13750;64531;57292;137500;68854;97083;1460989;6510;0;27;0.01432302;
07-04 18:17:00.859  4822  4854 I Unity   : [STATISTIC]423;12764740;0;12764271;858701824;16084992;1586336999;13281;67292;64792;279740;46354;98854;1468281;6563;0;27;0.0127724;
07-04 18:17:00.873  4822  4854 I Unity   : [STATISTIC]424;13141511;0;13140989;860934144;16084992;1586331623;15209;106354;61458;122395;45678;110573;1386875;6198;0;27;0.01315219;
07-04 18:17:00.887  4822  4854 I Unity   : [STATISTIC]425;13021562;0;13020990;862994432;16084992;1586344615;0;0;0;137187;117083;0;0;10416;0;27;0.01302854;
07-04 18:17:00.902  4822  4854 I Unity   : [STATISTIC]426;15471666;0;15471198;863584256;16084992;1586349415;14219;69635;54114;0;68229;92813;1678801;0;0;27;0.01547823;
07-04 18:17:00.914  4822  4854 I Unity   : [STATISTIC]427;14935000;0;14934531;865636352;16084992;1586409451;13281;61042;64687;335260;104427;64740;1359011;9427;0;27;0.0149538;
07-04 18:17:00.928  4822  4854 I Unity   : [STATISTIC]428;11839635;0;11839063;868175872;16084992;1603191499;15052;64427;65677;195938;72239;93906;1291146;6563;0;27;0.01185224;
07-04 18:17:00.942  4822  4854 I Unity   : [STATISTIC]429;15283854;0;15283333;870309888;16084992;1619960267;29271;89739;77917;424948;45417;183490;1611720;7291;0;27;0.01529365;
07-04 18:17:00.957  4822  4854 I Unity   : [STATISTIC]430;14933177;0;14932656;872747008;16084992;1619992839;14583;67188;56667;459479;81719;121875;1451458;7708;0;27;0.01494359;
07-04 18:17:00.969  4822  4854 I Unity   : [STATISTIC]431;13634895;0;13634271;875163648;16084992;1619992839;15521;74219;57761;795052;74583;98906;1446926;7188;0;27;0.01364568;
07-04 18:17:00.982  4822  4854 I Unity   : [STATISTIC]432;11216771;0;11216250;877277184;16084992;1620035679;0;0;0;246145;78645;0;0;9271;0;27;0.01123063;
07-04 18:17:00.998  4822  4854 I Unity   : [STATISTIC]433;11813229;0;11812709;877498368;16084992;1620040575;15625;76302;57083;0;70105;101302;1478749;0;0;27;0.01182333;
07-04 18:17:01.012  4822  4854 I Unity   : [STATISTIC]434;18780677;0;18780156;879644672;16084992;1620075927;17968;67604;68385;555156;51354;124583;1498542;18178;0;27;0.01879172;
07-04 18:17:01.026  4822  4854 I Unity   : [STATISTIC]435;12628229;0;12627708;881991680;16084992;1636888359;16458;75104;70781;351823;107604;134896;1451042;7083;0;27;0.01268516;
07-04 18:17:01.039  4822  4854 I Unity   : [STATISTIC]436;14095729;0;14095208;884305920;16084992;1636909735;16354;70104;82812;342761;45573;116615;1546718;12240;0;27;0.01410469;
07-04 18:17:01.052  4822  4854 I Unity   : [STATISTIC]437;13712032;0;13711510;886435840;16084992;1636938191;16510;75000;56875;319583;125261;100000;1431771;7656;0;27;0.01372297;
07-04 18:17:01.066  4822  4854 I Unity   : [STATISTIC]438;9374322;0;9373750;886435840;16084992;1636938191;0;0;0;0;81041;0;0;0;0;27;0.009386198;
07-04 18:17:01.080  4822  4854 I Unity   : [STATISTIC]439;15616354;0;15616041;888479744;16084992;1636933351;13177;65625;61406;226666;79740;122552;1334792;7604;0;27;0.0156263;
07-04 18:17:01.095  4822  4854 I Unity   : [STATISTIC]440;14890416;0;14889896;890847232;16084992;1636933351;19895;69480;88645;238594;80938;107343;1481876;15156;0;27;0.01489781;
07-04 18:17:01.109  4822  4854 I Unity   : [STATISTIC]441;13873594;0;13872969;890855424;16084992;1636933351;15313;70885;56406;0;83125;98073;1410157;0;0;27;0.01388625;
07-04 18:17:01.124  4822  4854 I Unity   : [STATISTIC]442;15848541;0;15848125;893624320;16084992;1653783607;15416;75625;58802;353281;37032;113282;1512865;8334;0;27;0.01586115;
07-04 18:17:01.137  4822  4854 I Unity   : [STATISTIC]443;14706979;0;14706666;895938560;16084992;1670574039;20625;73333;75000;542865;76354;109636;1465470;7552;0;27;0.01471682;
07-04 18:17:01.149  4822  4854 I Unity   : [STATISTIC]444;10350313;0;10349791;897994752;16084992;1670579063;0;0;0;238125;75678;0;0;11928;0;27;0.01036161;
07-04 18:17:01.165  4822  4854 I Unity   : [STATISTIC]445;12037813;0;12037448;898146304;16084992;1670579063;14584;69844;57761;0;71667;98437;1245261;0;0;27;0.0120574;
07-04 18:17:01.179  4822  4854 I Unity   : [STATISTIC]446;18213802;0;18213281;900448256;16084992;1670625079;16302;67812;62761;516146;64949;113282;1568854;13282;0;27;0.01822344;
07-04 18:17:01.192  4822  4854 I Unity   : [STATISTIC]447;13016303;0;13015781;902524928;16084992;1670638359;12708;63906;55156;244896;111407;89584;1273074;13021;0;27;0.01302693;
07-04 18:17:01.206  4822  4854 I Unity   : [STATISTIC]448;12916614;0;12916146;904605696;16084992;1670643447;13802;92968;66042;190781;64114;105989;1423645;11979;0;27;0.01292505;
07-04 18:17:01.220  4822  4854 I Unity   : [STATISTIC]449;11288073;0;11287604;904605696;16084992;1670635255;0;0;0;0;46615;0;0;0;0;27;0.01129724;
07-04 18:17:01.234  4822  4854 I Unity   : [STATISTIC]450;15240833;0;15240313;904605696;16084992;1670635255;15729;68021;64114;0;78645;149011;1339895;0;0;27;0.01525198;
