
07-09 11:34:46.456 22610 22633 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-09 11:34:47.302 22610 22633 I Unity   : [STATISTIC]335;12016094;0;12015677;743960576;12460032;893771639;10729;44896;59843;0;0;781;1270884;0;0;0;0;0;0;7471511;295000;0;27;0.01203359;
07-09 11:34:47.316 22610 22633 I Unity   : [STATISTIC]336;18513281;0;18512760;743960576;12460032;893771639;11042;36094;65729;0;0;1355;1485781;0;0;0;0;0;0;11801458;352813;0;27;0.01852245;
07-09 11:34:47.330 22610 22633 I Unity   : [STATISTIC]337;11578542;0;11578020;743960576;12460032;893771639;9166;28386;49479;0;0;313;1066354;0;0;0;0;0;0;6982448;282031;0;27;0.01158786;
07-09 11:34:47.344 22610 22633 I Unity   : [STATISTIC]338;14166250;0;14165781;743960576;12460032;893771639;18489;54479;72344;0;0;729;1254739;0;0;0;0;0;0;9648594;315833;0;27;0.01421188;
07-09 11:34:47.358 22610 22633 I Unity   : [STATISTIC]339;14089271;0;14088802;743960576;12460032;893771639;11406;45156;55468;0;0;729;1382916;0;0;0;0;0;0;9587344;299219;0;27;0.01409969;
07-09 11:34:47.372 22610 22633 I Unity   : [STATISTIC]340;13291875;0;13291302;743960576;12460032;893771639;0;0;0;0;0;0;0;0;0;0;0;0;0;9566250;684167;0;27;0.01329979;
07-09 11:34:47.386 22610 22633 I Unity   : [STATISTIC]341;14384375;0;14383593;744050688;12460032;893771639;9531;49687;46927;0;0;1667;1174323;0;0;0;0;0;0;10070000;243958;0;27;0.0143975;
07-09 11:34:47.400 22610 22633 I Unity   : [STATISTIC]342;14295209;0;14294688;744050688;12460032;893771639;10208;33594;55989;0;0;885;1368073;0;0;0;0;0;0;9686510;306302;0;27;0.01430531;
07-09 11:34:47.413 22610 22633 I Unity   : [STATISTIC]343;14197708;0;14197240;744050688;12460032;893771639;9791;49739;49115;0;0;990;1415991;0;0;0;0;0;0;9218802;352500;0;27;0.01419386;
07-09 11:34:47.429 22610 22633 I Unity   : [STATISTIC]344;14757500;0;14757031;744050688;12460032;893771639;17448;33333;101406;0;0;1406;1876667;0;0;0;0;0;0;8393073;771823;0;27;0.01478651;
07-09 11:34:47.443 22610 22633 I Unity   : [STATISTIC]345;14227864;0;14227083;744292352;12460032;893771639;8594;41928;52292;0;0;677;1397605;0;0;0;0;0;0;8861354;341927;0;27;0.01431375;
07-09 11:34:47.457 22610 22633 I Unity   : [STATISTIC]346;12685677;0;12685260;744292352;12460032;893771639;0;0;0;0;0;0;0;0;0;0;0;0;0;9033490;479531;0;27;0.01272083;
07-09 11:34:47.471 22610 22633 I Unity   : [STATISTIC]347;16277760;0;16276823;744292352;12460032;893771639;13750;44792;64584;0;0;1302;1719896;0;0;0;0;0;0;10397240;440365;0;27;0.01621849;
07-09 11:34:47.484 22610 22633 I Unity   : [STATISTIC]348;13693750;0;13692812;744292352;12460032;893771639;18281;46146;93645;0;0;1562;1787344;0;0;0;0;0;0;7487291;420105;0;27;0.01377646;
07-09 11:34:47.498 22610 22633 I Unity   : [STATISTIC]349;12072343;0;12071823;744529920;12460032;893771639;8854;32448;45886;0;0;729;1201250;0;0;0;0;0;0;7427968;342083;0;27;0.01211729;
07-09 11:34:47.514 22610 22633 I Unity   : [STATISTIC]350;13759583;0;13758907;744529920;12460032;893771639;9063;33542;51042;0;0;677;1180260;0;0;0;0;0;0;9591718;300209;0;27;0.01376833;
