
07-15 17:12:59.094 11387 11413 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-15 17:13:00.025 11387 11413 I Unity   : [STATISTIC]341;9660989;0;9660521;747347968;16338944;898829983;11875;39323;55469;0;0;1145;1472813;0;0;0;0;0;0;4843958;275157;0;27;0.009706042;
07-15 17:13:00.040 11387 11413 I Unity   : [STATISTIC]342;14638281;0;14637812;747593728;16338944;898829983;7709;33281;48802;0;0;1146;1099479;0;0;0;0;0;0;10825833;268021;0;27;0.01464677;
07-15 17:13:00.055 11387 11413 I Unity   : [STATISTIC]343;15334271;0;15333802;747593728;16338944;898829983;9479;62187;75886;0;0;625;1434531;0;0;0;0;0;0;10799062;337083;0;27;0.01534182;
07-15 17:13:00.069 11387 11413 I Unity   : [STATISTIC]344;15030885;0;15030417;747593728;16338944;898829983;8438;28906;50052;0;0;417;1173282;0;0;0;0;0;0;11056615;285834;0;27;0.01504479;
07-15 17:13:00.084 11387 11413 I Unity   : [STATISTIC]345;13862917;0;13862344;747593728;16338944;898829983;0;0;0;0;0;0;0;0;0;0;0;0;0;10174062;582396;0;27;0.01386292;
07-15 17:13:00.096 11387 11413 I Unity   : [STATISTIC]346;15798333;0;15797813;747810816;16338944;898829983;9114;32553;51771;0;0;938;1399324;0;0;0;0;0;0;10550990;367917;0;27;0.0158151;
07-15 17:13:00.111 11387 11413 I Unity   : [STATISTIC]347;11321406;0;11320729;747810816;16338944;898829983;8334;29791;50156;0;0;781;1108697;0;0;0;0;0;0;7084895;275417;0;27;0.01136807;
07-15 17:13:00.124 11387 11413 I Unity   : [STATISTIC]348;15688854;0;15688333;747810816;16338944;898829983;11615;33594;69532;0;0;938;1485730;0;0;0;0;0;0;10828385;352552;0;27;0.01568661;
07-15 17:13:00.138 11387 11413 I Unity   : [STATISTIC]349;12892187;0;12891458;747810816;16338944;898829983;14323;40886;88958;0;0;677;1586927;0;0;0;0;0;0;7690417;440521;0;27;0.01293391;
07-15 17:13:00.153 11387 11413 I Unity   : [STATISTIC]350;12949323;0;12948958;748048384;16338944;898829983;8437;30104;78437;0;0;417;1120000;0;0;0;0;0;0;9009843;287708;0;27;0.01302052;
