Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
108;625393;625283;806559744;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000626776;
109;624601;624501;806559744;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000625893;
110;630403;630261;806559744;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000631865;
111;1956579;1956449;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;454151;0;0;57;0.001958172;
112;704802;704691;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000706595;
113;705313;705193;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000706575;
114;639419;639319;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000641263;
115;639981;639860;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000641082;
116;597190;597060;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000598923;
117;661190;661099;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000662733;
118;628579;628459;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000629962;
119;606307;606187;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000607539;
120;613200;613039;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000614783;
121;642164;642064;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000643767;
122;618420;618320;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000619852;
123;612108;611978;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000613471;
124;603131;603031;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000604684;
125;617688;617558;807215104;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;57;0.000618961;
