
07-09 11:46:47.368  6141  6168 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-09 11:46:48.222  6141  6168 I Unity   : [STATISTIC]341;14706875;0;14706407;733151232;16105472;897548043;9271;31094;53333;0;0;1771;1273594;0;0;0;0;0;0;10562813;299062;0;27;0.01471844;
07-09 11:46:48.234  6141  6168 I Unity   : [STATISTIC]342;15543334;0;15542865;733151232;16105472;897548043;11042;31771;60781;0;0;886;1254062;0;0;0;0;0;0;9891666;320313;0;27;0.01555167;
07-09 11:46:48.250  6141  6168 I Unity   : [STATISTIC]343;10649062;0;10648646;733151232;16105472;897548043;8490;25104;45521;0;0;573;1021146;0;0;0;0;0;0;6940521;246406;0;27;0.01066708;
07-09 11:46:48.264  6141  6168 I Unity   : [STATISTIC]344;15399219;0;15398802;733388800;16105472;897416971;10625;30833;54271;0;0;573;1024270;0;0;0;0;0;0;11742657;267708;0;27;0.01540599;
07-09 11:46:48.277  6141  6168 I Unity   : [STATISTIC]345;15537708;0;15537188;733388800;16105472;897416971;14062;33594;72343;0;0;1197;1505783;0;0;0;0;0;0;10601354;389792;0;27;0.01554156;
07-09 11:46:48.292  6141  6168 I Unity   : [STATISTIC]346;11841979;0;11841458;733388800;16105472;897416971;8646;27813;48333;0;0;938;1110312;0;0;0;0;0;0;8061407;260833;0;27;0.01186609;
07-09 11:46:48.306  6141  6168 I Unity   : [STATISTIC]347;13801510;0;13801041;733388800;16105472;897416971;0;0;0;0;0;0;0;0;0;0;0;0;0;11077760;394844;0;27;0.01380932;
07-09 11:46:48.319  6141  6168 I Unity   : [STATISTIC]348;15880938;0;15880261;733642752;16105472;897416971;12083;38802;68438;0;0;1407;1548333;0;0;0;0;0;0;11079792;364896;0;27;0.01588604;
07-09 11:46:48.333  6141  6168 I Unity   : [STATISTIC]349;12355520;0;12355052;733642752;16105472;897416971;9636;34375;39792;0;0;1250;1228750;0;0;0;0;0;0;8185105;270312;0;27;0.01237641;
07-09 11:46:48.350  6141  6168 I Unity   : [STATISTIC]350;14385833;0;14385313;733642752;16105472;897416971;9271;30156;52135;0;0;938;1133751;0;0;0;0;0;0;10441041;284687;0;27;0.01439589;
07-09 11:46:48.364  6141  6168 I Unity   : [STATISTIC]351;16585469;0;16585052;733642752;16105472;897416971;8906;28125;44792;0;0;885;1064427;0;0;0;0;0;0;12716875;292083;0;27;0.01659255;
07-09 11:46:48.378  6141  6168 I Unity   : [STATISTIC]352;13537813;0;13537344;733888512;16105472;897416971;8489;24948;40781;0;0;885;963542;0;0;0;0;0;0;9878802;257813;0;27;0.01355261;
07-09 11:46:48.393  6141  6168 I Unity   : [STATISTIC]353;13545365;0;13544792;733888512;16105472;897416971;0;0;0;0;0;0;0;0;0;0;0;0;0;10202239;505989;0;27;0.01355135;
07-09 11:46:48.406  6141  6168 I Unity   : [STATISTIC]354;15911614;0;15911094;733888512;16105472;897416971;10469;41198;52864;0;0;1042;1413697;0;0;0;0;0;0;11278438;291667;0;27;0.01593563;
07-09 11:46:48.420  6141  6168 I Unity   : [STATISTIC]355;12414323;0;12413854;733888512;16105472;897416971;8541;27083;49427;0;0;1666;1092657;0;0;0;0;0;0;8611511;267552;0;27;0.0124262;
07-09 11:46:48.434  6141  6168 I Unity   : [STATISTIC]356;14138230;0;14137916;734117888;16105472;897416971;6771;26927;52552;0;0;573;1028177;0;0;0;0;0;0;10325834;256145;0;27;0.01415443;
