
07-15 17:09:58.798  7945  7975 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;GameServer Unity.Entities.SimulationSystemGroup;UnityEngine.CoreModule.dll!::UpdateFunction.Invoke() [Invoke];PostLateUpdate.FinishFrameRendering;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-15 17:10:00.150  7945  7975 I Unity   : [STATISTIC]353;12616354;12615834;807669760;15982592;1402578663;0;0;0;0;79011;0;408437;0;0;0;99895;0;0;5164687;847031;0;0;1828802;18;27;0.01262474;
07-15 17:10:00.164  7945  7975 I Unity   : [STATISTIC]354;12341093;12340729;807669760;15982592;1402578663;0;0;0;0;101719;0;463437;0;0;0;92501;0;0;5280052;834948;0;0;1765417;18;27;0.01235401;
07-15 17:10:00.179  7945  7975 I Unity   : [STATISTIC]355;14368593;14368021;807669760;15982592;1402578663;0;0;0;0;63594;0;0;0;0;0;47917;0;0;7546302;876250;0;0;1740782;18;27;0.01437979;
07-15 17:10:00.193  7945  7975 I Unity   : [STATISTIC]356;16303645;16303229;807813120;15982592;1402578663;0;0;0;0;40625;0;508334;0;0;0;83645;0;0;7554791;974532;0;0;2122865;18;27;0.01631401;
07-15 17:10:00.205  7945  7975 I Unity   : [STATISTIC]357;12678802;12678385;807813120;15982592;1402578663;0;0;0;0;113333;0;350104;0;0;0;70677;0;0;5095417;1174583;0;0;1717917;18;27;0.01268875;
07-15 17:10:00.220  7945  7975 I Unity   : [STATISTIC]358;13254115;13253645;807813120;15982592;1402578663;0;0;0;0;49167;0;388802;0;0;0;50988;0;0;5245573;1330521;0;0;2092604;18;27;0.01326443;
07-15 17:10:00.234  7945  7975 I Unity   : [STATISTIC]359;14200729;14200260;807813120;15982592;1402578663;0;0;0;0;93020;0;548490;0;0;0;53072;0;0;6383802;1254166;0;0;1742032;18;27;0.01421234;
07-15 17:10:00.247  7945  7975 I Unity   : [STATISTIC]360;14589844;14589531;807813120;15982592;1402578663;0;0;0;0;114585;0;679063;0;0;0;61199;0;0;6000781;1510208;0;0;1927240;18;27;0.01459578;
07-15 17:10:00.260  7945  7975 I Unity   : [STATISTIC]361;14356250;14355678;809709568;15982592;1402595047;0;0;0;121458;59739;0;373125;0;0;0;62916;0;0;5123593;2201927;0;0;1874323;19;27;0.01437901;
07-15 17:10:00.274  7945  7975 I Unity   : [STATISTIC]362;12252084;12251615;811761664;15982592;1402611431;0;0;0;98958;55000;0;0;0;0;0;45884;0;0;3717813;1998073;0;0;1942761;20;27;0.01226651;
